,source_node,path,distance
294,98,"[98, 105, 86, 184, 243, 8, 117, 1, 5]",9
295,98,"[98, 105, 86, 184, 243, 8, 117, 40, 25]",9
296,98,"[98, 105, 86, 184, 243, 8, 146, 104, 74, 15]",10
297,99,"[99, 190, 277, 176, 258, 264, 236, 155, 1, 5]",10
298,99,"[99, 190, 277, 176, 258, 264, 198, 146, 104, 74, 15]",11
299,99,"[99, 190, 277, 176, 258, 223, 24, 241, 14, 81, 25]",11
300,100,"[100, 170, 148, 279, 94, 45, 77, 297, 275, 159, 5]",11
301,100,"[100, 170, 148, 279, 205, 83, 288, 282, 289, 206, 81, 25]",12
302,100,"[100, 170, 148, 279, 94, 45, 56, 134, 54, 264, 198, 146, 104, 74, 15]",15
303,101,"[101, 175, 25]",3
304,101,"[101, 175, 25, 40, 115, 15]",6
305,101,"[101, 175, 25, 40, 117, 1, 5]",7
306,102,"[102, 44, 156, 128, 180, 1, 5]",7
307,102,"[102, 44, 156, 128, 180, 1, 117, 40, 25]",9
308,102,"[102, 93, 64, 142, 243, 8, 146, 104, 74, 15]",10
309,103,"[103, 37, 188, 71, 46, 194, 287, 10]",8
310,103,"[103, 37, 106, 272, 246, 104, 74, 15]",8
311,103,"[103, 37, 188, 71, 46, 0, 155, 1, 5]",9
312,104,"[104, 74, 15]",3
313,104,"[104, 146, 8, 117, 1, 5]",6
314,104,"[104, 74, 15, 115, 40, 25]",6
315,105,"[105, 86, 184, 243, 8, 117, 1, 5]",8
316,105,"[105, 86, 184, 243, 8, 117, 40, 25]",8
317,105,"[105, 86, 184, 243, 8, 146, 104, 74, 15]",9
318,106,"[106, 272, 246, 104, 74, 15]",6
319,106,"[106, 37, 188, 71, 46, 194, 287, 10]",8
320,106,"[106, 272, 246, 126, 163, 76, 81, 25]",8
321,107,"[107, 63, 92, 91, 201, 65, 34, 276, 184, 243, 8, 117, 1, 5]",14
322,107,"[107, 63, 92, 91, 201, 84, 41, 114, 106, 272, 246, 104, 74, 15]",14
323,107,"[107, 63, 92, 91, 201, 65, 34, 276, 184, 243, 8, 117, 40, 25]",14
324,108,"[108, 137, 195, 223, 24, 241, 14, 81, 25]",9
325,108,"[108, 137, 195, 223, 258, 264, 236, 155, 1, 5]",10
326,108,"[108, 137, 195, 223, 258, 264, 198, 146, 104, 74, 15]",11
327,109,"[109, 55, 77, 297, 275, 159, 5]",7
